111,Sports Center,NULL,"1078 Main Road, Andherdeo, Jabalpur, Madhya Pradesh 482002",NULL,NULL,NULL,094073 39281,NULL,NULL,1899-12-30,1899-12-31,NULL
112,Atul Sports Club,NULL,"2PJQ+744, Barghat, Pohar Kalan, Madhya Pradesh 480667",NULL,NULL,NULL,NULL,NULL,NULL,1899-12-30,1899-12-31,NULL
113,Ashish Sports Center,NULL,"MF85+HWG, Datia, Madhya Pradesh 475661",25.7025,78.4979,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,Sports Centre,NULL,"1078 Main Road, Andherdeo, Jabalpur, Madhya Pradesh 482002",23.174,79.9336,NULL,094073 39281,NULL,NULL,NULL,NULL,NULL
115,Ranital Sports Complex,NULL,"5WFF+238, Ranital, Madhya Pradesh 482002",23.1696,79.9241,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,Sports Authority Of India Tikamgarh,NULL,"QR2R+9C7, Tikamgarh, Madhya Pradesh 472001",24.7456,78.8321,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,Ankur Khel Parisar,NULL,"6CGH+MV3, 6 Number Bus Stop, No 6 Locality, Shivaji Nagar, Bhopal, Madhya Pradesh 462011",23.2307,77.4318,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,HMG CENTRE FOR SPORTS EXCELLENCE,NULL,"lot No: 1472, Mumbai – Agra National Highway Behind Silicon Valley, Circle, near Rau, Indore, Madhya Pradesh 453331",22.6399,75.8033,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,OYO 14418 Sports Club Of Jabalpur,NULL,"7, 7/8, Mandla - Jabalpur Rd, near vishal Datt petrol pump, Bilhari, Jabalpur, Madhya Pradesh 482056",23.1364,79.9724,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,MPCA's Chandu Sarwate Cricket Ground (Sagar),NULL,"Bamhori Renguwan, Sagar, Madhya Pradesh 470115",23.8406,78.7086,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,M.P. Sports & Stationer,NULL,"Near sbi dwivedi complex, Madhya Pradesh 486661",24.2991,81.7892,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,3 EME CENTRE,NULL,"78HM+JF3, 3 EME Rd, Bairagarh, Bhopal, Madhya Pradesh 462030",23.274,77.3359,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,Ratan Sports,NULL,"near Ram Mandir, Chitragupt Nagar, Balaghat, Madhya Pradesh 481001",21.8066,80.1904,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,Awdhesh Pratap Singh University Stadium,NULL,"Major District Rd, Rewa, Madhya Pradesh 486001",24.5487,81.3065,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,Shree Ram Sports,NULL,"Shop no.1 ,18 bima nagar anand bazar main road, Indore, Madhya Pradesh 452001",22.7281,75.8945,NULL,NULL,NULL,NULL,NULL,NULL,NULL
